sale_id,products_id,pdt_name,region_name,city_name,city_type,zone_climatique,density_type,quantity,date_vente
260,46,Produit Sacs 046,Hauts-de-France,Calais,Grande Ville,Nord,Dense,7,2025-01-23
261,46,Produit Sacs 046,Grand Est,Reims,Grande Ville,Nord,Moyen,6,2025-01-04
262,46,Produit Sacs 046,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,5,2025-07-20
263,46,Produit Sacs 046,Normandie,Le Havre,Grande Ville,Nord,Rural,4,2024-12-16
264,47,Produit Micro-ondes 047,Île-de-France,Paris,Métropole,Nord,Dense,7,2025-06-18
265,47,Produit Micro-ondes 047,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,1,2025-05-27
266,47,Produit Micro-ondes 047,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,1,2025-07-26
267,48,Produit Ustensiles 048,Île-de-France,Paris,Métropole,Nord,Dense,8,2025-02-01
268,48,Produit Ustensiles 048,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,3,2025-01-10
269,48,Produit Ustensiles 048,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,2,2025-08-20
270,48,Produit Ustensiles 048,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,2,2024-09-25
271,48,Produit Ustensiles 048,Occitanie,Perpignan,Grande Ville,Sud,Moyen,2,2025-07-01
272,48,Produit Ustensiles 048,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-01-03
273,48,Produit Ustensiles 048,Grand Est,Metz,Grande Ville,Nord,Moyen,1,2025-01-07
274,48,Produit Ustensiles 048,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,1,2024-10-12
275,48,Produit Ustensiles 048,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2025-02-05
276,49,Produit Cables 049,Île-de-France,Paris,Métropole,Nord,Dense,15,2025-02-02
277,49,Produit Cables 049,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,7,2025-03-15
278,49,Produit Cables 049,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,6,2025-03-05
279,49,Produit Cables 049,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,5,2025-07-13
280,49,Produit Cables 049,Occitanie,Montpellier,Grande Ville,Sud,Moyen,5,2025-04-03
281,49,Produit Cables 049,Hauts-de-France,Amiens,Grande Ville,Nord,Dense,4,2025-07-30
282,49,Produit Cables 049,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,4,2025-01-29
283,49,Produit Cables 049,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,3,2025-03-05
284,49,Produit Cables 049,Normandie,Le Havre,Grande Ville,Nord,Rural,2,2025-08-15
285,50,Produit Micro-ondes 050,Île-de-France,Paris,Métropole,Nord,Dense,7,2025-04-20
286,50,Produit Micro-ondes 050,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,1,2024-12-22
287,50,Produit Micro-ondes 050,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,1,2025-06-23
288,50,Produit Micro-ondes 050,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,1,2024-09-16
289,50,Produit Micro-ondes 050,Occitanie,Montpellier,Grande Ville,Sud,Moyen,1,2025-01-07
