date,total_sales,revenue,orders,unique_customers
2024-09-06,1287,40364.361805201515,1034,781
2024-09-07,1690,62895.30193474816,1259,1024
2024-09-08,1644,81602.87806234838,1363,996
2024-09-09,1104,44327.16350236435,851,810
2024-09-10,1321,44087.37724732783,1181,1056
2024-09-11,1312,59799.04276280847,1075,968
2024-09-12,1328,53708.67716598233,1008,899
2024-09-13,1470,98400.18258369305,1169,897
2024-09-14,1639,67271.99317048666,1190,1040
2024-09-15,1338,36073.351908969875,1017,994
2024-09-16,1565,79113.7560403947,1365,1193
2024-09-17,1378,80386.15942666709,1031,893
2024-09-18,1620,116834.33132211171,1439,1142
2024-09-19,1324,35928.42531719695,997,1059
2024-09-20,1267,69856.98329547612,931,958
2024-09-21,1499,99564.19087819339,1267,981
2024-09-22,1536,68235.36925685193,1328,1067
2024-09-23,1651,109488.00209184867,1266,1293
2024-09-24,1126,45118.100932421985,995,852
2024-09-25,1140,49369.109849507695,806,818
2024-09-26,1192,50192.17706255059,981,948
2024-09-27,1274,91892.45634462096,1100,926
2024-09-28,1510,85718.81805245556,1342,1098
2024-09-29,1823,94071.543941688,1550,1251
2024-09-30,1366,100841.2193188403,1152,1012
2024-10-01,1305,89224.97403622732,1161,993
2024-10-02,1277,79362.61610190773,1040,794
2024-10-03,1253,83100.20442904189,938,905
2024-10-04,1202,55039.256919374915,942,951
2024-10-05,1862,71173.63171675053,1515,1480
2024-10-06,1721,103932.00502301723,1306,1103
2024-10-07,1339,34224.84503372057,944,819
2024-10-08,1441,77970.93503597338,1144,1148
2024-10-09,1450,92619.97467645592,1217,938
2024-10-10,1357,94975.95368906081,1221,858
2024-10-11,1338,87854.73652415257,1117,1023
2024-10-12,1411,77630.09763430821,1128,967
2024-10-13,1526,42577.62178835372,1149,986
2024-10-14,1226,36882.44900391728,1064,740
2024-10-15,1203,78177.78624871779,903,894
2024-10-16,1403,77842.5622933588,1253,1045
2024-10-17,1531,47106.58983785326,1234,968
2024-10-18,1363,96158.37953488262,1224,973
2024-10-19,1396,76631.97803803923,1126,1063
2024-10-20,1749,73276.28839881856,1269,1327
2024-10-21,1499,94069.96034210653,1173,999
2024-10-22,1160,43776.153077127005,995,696
2024-10-23,1505,107677.06882565489,1294,917
2024-10-24,1301,91377.07631054838,1056,903
2024-10-25,1289,81295.89196046359,977,822
2024-10-26,1790,128610.60664881128,1584,1157
2024-10-27,1649,58722.82782391643,1308,1054
2024-10-28,1120,29327.683854475756,790,717
2024-10-29,1471,43357.922638776065,1314,954
2024-10-30,1630,70929.92412397655,1254,1302
2024-10-31,1422,93391.06051101578,1260,1099
2024-11-01,1239,68560.33341112989,940,793
2024-11-02,1802,133770.95200597544,1594,1351
2024-11-03,1498,79529.53932957935,1082,1016
2024-11-04,1163,83682.34964084318,887,780
2024-11-05,1173,52078.739765414364,932,936
2024-11-06,1259,56384.77217492578,1090,856
2024-11-07,1557,112517.4529226269,1114,1117
2024-11-08,1454,58925.13868003794,1240,939
2024-11-09,1917,104095.2265758865,1490,1206
2024-11-10,1392,49852.027686528425,1205,1056
2024-11-11,1328,88776.36666177934,1090,816
2024-11-12,1393,73164.89757495606,1149,1053
2024-11-13,955,68658.95643607609,698,644
2024-11-14,1270,43094.02577379829,1059,945
2024-11-15,1249,87062.75344319138,908,946
2024-11-16,1465,103952.17822227054,1083,939
2024-11-17,1746,118098.36001963969,1326,1297
2024-11-18,1285,34277.71653446542,1056,862
2024-11-19,1146,83852.72649651275,1012,755
2024-11-20,1250,70299.51657998444,971,813
2024-11-21,1363,44522.374234252624,979,828
2024-11-22,1303,61601.787279883756,1165,854
2024-11-23,1462,40967.40893719287,1093,1164
2024-11-24,4019,197573.75533987215,3301,3191
2024-11-25,3706,229306.5698587227,3079,2893
2024-11-26,3914,283011.99326016416,3522,2572
2024-11-27,4611,247390.6610659451,3631,3437
2024-11-28,1696,112464.04604522172,1273,1275
2024-11-29,1556,48180.25052959214,1261,1191
2024-11-30,1437,90804.31715092092,1072,947
2024-12-01,3427,157764.91740893343,2704,2618
2024-12-02,2718,88957.26163220512,2183,1683
2024-12-03,2549,127789.41507822285,2214,1951
2024-12-04,2688,164241.5732969684,2157,1712
2024-12-05,2778,96711.82827611089,2370,1713
2024-12-06,2078,72620.44753631651,1809,1412
2024-12-07,3547,249438.34380278457,2840,2738
2024-12-08,3562,239749.7614672884,3098,2367
2024-12-09,3015,220067.33361369403,2236,1847
2024-12-10,2943,155326.61278015576,2634,2172
2024-12-11,2865,77601.34119373531,2315,2270
2024-12-12,3201,104573.40725636258,2691,2226
2024-12-13,2688,77856.17860904385,2335,1900
2024-12-14,2835,162036.65402252413,2200,2131
2024-12-15,3152,197398.50794531562,2212,2380
2024-12-16,2530,102173.07004435598,2171,1725
2024-12-17,2366,83850.485654017,1706,1872
2024-12-18,2836,132916.75747661863,2104,2132
2024-12-19,2898,130252.85215789644,2506,2266
2024-12-20,2886,168085.21041847757,2150,2179
2024-12-21,3528,149553.9881413871,2974,2756
2024-12-22,3360,163231.5999417075,2945,2584
2024-12-23,2973,201369.446215642,2212,1999
2024-12-24,2806,142543.6880599558,2196,2231
2024-12-25,1332,98327.45250764929,1097,850
2024-12-26,1626,85198.96285690702,1387,1243
2024-12-27,1444,36651.070991159606,1087,913
2024-12-28,1598,109294.12248910015,1347,1193
2024-12-29,1724,81882.89994557512,1247,1120
2024-12-30,1471,57755.586762809064,1224,1058
2024-12-31,1438,89333.78370624605,1055,969
